record_id,title,authors,source,year,doi_or_url,database
R001,An Empirical Study of Build Failures in the Docker Context,Y. Wu; Y. Zhang; T. Wang; H. Wang,2020 IEEE/ACM 17th International Conference on Mining Software Repositories (MSR),2020,10.1145/3379597.3387483,IEEE
R002,Refactoring for Dockerfile Quality: A Dive into Developer Practices and Automation Potential,E. Ksontini; M. Mastouri; R. Khalsi; W. Kessentini,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),2025,10.1109/MSR66628.2025.00116,IEEE
R003,Characterizing the Occurrence of Dockerfile Smells in Open-Source Software: An Empirical Study,Y. Wu; Y. Zhang; T. Wang; H. Wang,IEEE Access,2020,10.1109/ACCESS.2020.2973750,IEEE
R004,Not all Dockerfile Smells are the Same: An Empirical Evaluation of Hadolint Writing Practices by Experts,G. Rosa; S. Scalabrino; G. Robles; R. Oliveto,2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),2024,,IEEE
R005,Anti-Patterns in Infrastructure as Code,A. Rahman,"2018 IEEE 11th International Conference on Software Testing, Verification and Validation (ICST)",2018,10.1109/ICST.2018.00057,IEEE
R006,An Empirical Analysis of the Docker Container Ecosystem on GitHub,J. Cito; G. Schermann; J. E. Wittern; P. Leitner; S. Zumberi; H. C. Gall,2017 IEEE/ACM 14th International Conference on Mining Software Repositories (MSR),2017,10.1109/MSR.2017.67,IEEE
R007,TerraMetrics: An Open Source Tool for Infrastructure-as-Code (IaC) Quality Metrics in Terraform,M. Begoug; M. Chouchen; A. Ouni,2024 IEEE/ACM 32nd International Conference on Program Comprehension (ICPC),2024,,IEEE
R008,Semantic Transformer-Based Detection of Security Misconfigurations in Cloud Infrastructure-as-Code,N. S. Praveen Kumar Yadati; S. Manohar Nethi; S. P. Nandi; R. Purushothaman; P. Nutalapati; M. Parikh,"2026 International Conference on Artificial Intelligence, Systems, and Emerging Technologies (ICAISET)",2026,10.1109/ICAISET66439.2026.11541339,IEEE
R009,Characteristics of Defective Infrastructure as Code Scripts in DevOps,A. Rahman,2018 IEEE/ACM 40th International Conference on Software Engineering: Companion (ICSE-Companion),2018,,IEEE
R010,As Code Testing: Characterizing Test Quality in Open Source Ansible Development,M. M. Hassan; A. Rahman,"2022 IEEE Conference on Software Testing, Verification and Validation (ICST)",2022,10.1109/ICST53961.2022.00031,IEEE
R011,Code Smells in Infrastructure as Code,J. Schwarz; A. Steffens; H. Lichter,2018 11th International Conference on the Quality of Information and Communications Technology (QUATIC),2018,10.1109/QUATIC.2018.00040,IEEE
R012,Empirical Study of the Docker Smells Impact on the Image Size,T. Durieux,2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE),2024,10.1145/3597503.3639143,IEEE
R013,Construction of an Innovation Information Mining Platform Integrating Knowledge Graph,D. Wan; P. Huang,2025 International Conference on Electronics and Renewable Systems (ICEARS),2025,10.1109/ICEARS64219.2025.10940157,IEEE
R014,Automated Approach to IaC Code Inspection Using Python-Based DevSecOps Tool,N. Petrović; M. Cankar; A. Luzar,2022 30th Telecommunications Forum (TELFOR),2022,10.1109/TELFOR56187.2022.9983681,IEEE
R015,DRMiner: A Tool For Identifying And Analyzing Refactorings In Dockerfile,E. Ksontini; A. Abid; R. Khalsi; M. Kessentini,2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),2024,,IEEE
R016,Gang of Eight: A Defect Taxonomy for Infrastructure as Code Scripts,A. Rahman; E. Farhana; C. Parnin; L. Williams,2020 IEEE/ACM 42nd International Conference on Software Engineering (ICSE),2020,10.1145/3377811.3380409,IEEE
R017,Vulnerability Analysis and Security Research of Docker Container,J. Wenhao; L. Zheng,2020 IEEE 3rd International Conference on Information Systems and Computer Aided Education (ICISCAE),2020,10.1109/ICISCAE51034.2020.9236837,IEEE
R018,Docker2RDF: Lifting the Docker Registry Hub into RDF,A. B. Ayed; J. Subercaze; F. Laforest; T. Chaari; W. Louati; A. H. Kacem,2017 IEEE World Congress on Services (SERVICES),2017,10.1109/SERVICES.2017.15,IEEE
R019,Mining Container Image Repositories for Software Configuration and Beyond,T. Xu; D. Marinov,2018 IEEE/ACM 40th International Conference on Software Engineering: New Ideas and Emerging Technologies Results (ICSE-NIER),2018,,IEEE
R020,Quality Assurance for Infrastructure Orchestrators: Emerging Results from Ansible,Y. Zhang; M. Rahman; F. Wu; A. Rahman,2023 IEEE 20th International Conference on Software Architecture Companion (ICSA-C),2023,10.1109/ICSA-C57050.2023.00073,IEEE
R021,A Large-scale Data Set and an Empirical Study of Docker Images Hosted on Docker Hub,C. Lin; S. Nadi; H. Khazaei,2020 IEEE International Conference on Software Maintenance and Evolution (ICSME),2020,10.1109/ICSME46990.2020.00043,IEEE
R022,DIVDS: Docker Image Vulnerability Diagnostic System,S. Kwon; J. -H. Lee,IEEE Access,2020,10.1109/ACCESS.2020.2976874,IEEE
R023,An Approach to Identifying Error Patterns for Infrastructure as Code,W. Chen; G. Wu; J. Wei,2018 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),2018,10.1109/ISSREW.2018.00-19,IEEE
R024,"Smelly Variables in Ansible Infrastructure Code: Detection, Prevalence, and Lifetime",R. Opdebeeck; A. Zerouali; C. De Roover,2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),2022,10.1145/3524842.3527964,IEEE
R025,SoK: Static Configuration Analysis in Infrastructure as Code Scripts,P. R. Reddy Konala; V. Kumar; D. Bainbridge,2023 IEEE International Conference on Cyber Security and Resilience (CSR),2023,10.1109/CSR57506.2023.10224925,IEEE
R026,Smells-sus: Sustainability Smells in IaC,S. Kosbar; M. Hamdaqa,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),2025,10.1109/MSR66628.2025.00117,IEEE
R027,A Catalog of Cost Patterns and Antipatterns for Infrastructure as Code,K. Bolhuis; D. Feitosa; V. Andrikopoulos,2024 50th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),2024,10.1109/SEAA64295.2024.00067,IEEE
R028,Refactorings and Technical Debt in Docker Projects: An Empirical Study,E. Ksontini; M. Kessentini; T. d. N. Ferreira; F. Hassan,2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),2021,10.1109/ASE51524.2021.9678585,IEEE
R029,Control and Data Flow in Security Smell Detection for Infrastructure as Code: Is It Worth the Effort?,R. Opdebeeck; A. Zerouali; C. De Roover,2023 IEEE/ACM 20th International Conference on Mining Software Repositories (MSR),2023,10.1109/MSR59073.2023.00079,IEEE
R030,A Framework for Reusable Infrastructure as Code Templates in Cloud-Native Environments,H. Wei; N. Madhavji; J. Steinbacher,2025 IEEE/ACM 22nd International Conference on Software and Systems Reuse (ICSR),2025,10.1109/ICSR66718.2025.00007,IEEE
R031,A Process Mining Tool for Supporting IoT Security,A. Hemmer; R. Badonnel; J. François; I. Chrisment,NOMS 2020 - 2020 IEEE/IFIP Network Operations and Management Symposium,2020,10.1109/NOMS47738.2020.9110254,IEEE
R032,An Insight Into the Impact of Dockerfile Evolutionary Trajectories on Quality and Latency,Y. Zhang; G. Yin; T. Wang; Y. Yu; H. Wang,2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC),2018,10.1109/COMPSAC.2018.00026,IEEE
R033,FEET: A Framework for End-to-End Testability of FreeRADIUS via Containerization and CI Pipelines,J. -H. Chang; T. -I. Chen; W. Ho,2025 25th Asia-Pacific Network Operations and Management Symposium (APNOMS),2025,10.23919/APNOMS67058.2025.11181404,IEEE
R034,An Empirical Study of Containerized MPI and GUI Application on HPC in the Cloud,M. Kumar; G. Kaur,2022 2nd International Conference on Innovative Sustainable Computational Technologies (CISCT),2022,10.1109/CISCT55310.2022.10046607,IEEE
R035,Within-Project Defect Prediction of Infrastructure-as-Code Using Product and Process Metrics,S. Dalla Palma; D. Di Nucci; F. Palomba; D. A. Tamburri,IEEE Transactions on Software Engineering,2022,10.1109/TSE.2021.3051492,IEEE
R036,How Do Infrastructure-as-Code Practitioners Update Their Dependencies? An Empirical Study on Terraform Module Updates,M. Begoug; A. Ouni; M. Chouchen,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),2025,10.1109/MSR66628.2025.00100,IEEE
R037,Evaluation of Foundation Models for Infrastructure-as-Code Automation on Amazon Bedrock,B. Terry; Q. Shi; Z. Yang; A. Haidar; S. Shao,2025 Cyber Awareness and Research Symposium (CARS),2025,10.1109/CARS67163.2025.11337933,IEEE
R038,Towards Supporting the Generation of Infrastructure as Code Through Modelling Approaches - Systematic Literature Review,G. Novakova Nedeltcheva; A. De La Fuente Ruiz; L. Orue-Echevarria Arrieta; N. Bat; L. Blasi,2022 IEEE 19th International Conference on Software Architecture Companion (ICSA-C),2022,10.1109/ICSA-C54293.2022.00048,IEEE
R039,Structured Information on State and Evolution of Dockerfiles on GitHub,G. Schermann; S. Zumberi; J. Cito,2018 IEEE/ACM 15th International Conference on Mining Software Repositories (MSR),2018,,IEEE
R040,"Learning from, Understanding, and Supporting DevOps Artifacts for Docker",J. Henkel; C. Bird; S. K. Lahiri; T. Reps,2020 IEEE/ACM 42nd International Conference on Software Engineering (ICSE),2020,10.1145/3377811.3380406,IEEE
R041,An Empirical Study on Dockers and Virtual Machines for Hosting React.js Web Application,A. V. M; S. V; A. P; C. A. D,2023 14th International Conference on Computing Communication and Networking Technologies (ICCCNT),2023,10.1109/ICCCNT56998.2023.10307544,IEEE
R042,Practitioner Perceptions of Ansible Test Smells,Y. Zhang; F. Wu; A. Rahman,2023 IEEE 20th International Conference on Software Architecture Companion (ICSA-C),2023,10.1109/ICSA-C57050.2023.00074,IEEE
R043,Container Anomaly Detection System Based on Rule Mining and Matching,D. Yu; Y. Xie; H. Long; M. Jin; X. Li,2022 International Conference on Blockchain Technology and Information Security (ICBCTIS),2022,10.1109/ICBCTIS55569.2022.00034,IEEE
R044,Containerized MPI Application on InfiniBand based HPC: An Empirical Study,M. Kumar; G. Kaur,2022 3rd International Conference for Emerging Technology (INCET),2022,10.1109/INCET54531.2022.9824366,IEEE
R045,"An Architecture for Digital Processes in Manufacturing with Blockchain, Docker and Cloud Storage",G. Volpe; A. M. Mangini; M. P. Fanti,2021 IEEE 17th International Conference on Automation Science and Engineering (CASE),2021,10.1109/CASE49439.2021.9551633,IEEE
R046,Dual-layer Graph Retrieval-Augmented Large Language Models for Terraform Code Generation,D. Yu,2026 6th International Symposium on Computer Technology and Information Science (ISCTIS),2026,10.1109/ISCTIS70043.2026.11572212,IEEE
R047,ConPan: A Tool to Analyze Packages in Software Containers,A. Zerouali; V. Cosentino; G. Robles; J. M. Gonzalez-Barahona; T. Mens,2019 IEEE/ACM 16th International Conference on Mining Software Repositories (MSR),2019,10.1109/MSR.2019.00089,IEEE
R048,npm-filter: Automating the mining of dynamic information from npm packages,E. Arteca; A. Turcotte,2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),2022,10.1145/3524842.3528501,IEEE
R049,Sentimentalizer: Docker container utility over Cloud,K. Kumar; M. Kurhekar,2017 Ninth International Conference on Advances in Pattern Recognition (ICAPR),2017,10.1109/ICAPR.2017.8593104,IEEE
R050,Detection and Analysis of Poisoned Image in Container Registry,S. Pang; Y. Wang; Y. Yao; Z. Jiang; Z. Fan; B. Liu,2025 IEEE 36th International Symposium on Software Reliability Engineering (ISSRE),2025,10.1109/ISSRE66568.2025.00051,IEEE
R051,Comparison between Chunk-Based and Layer-Based Container Image Storage Approaches: an Empirical Study,Y. Li; B. An; J. Ma; D. Cao,2019 IEEE International Conference on Service-Oriented System Engineering (SOSE),2019,10.1109/SOSE.2019.00034,IEEE
R052,DockInsight: A Knowledge-Augmented Dependency Extraction Approach for Dockerfile,Z. Zhu; T. Chen; Y. Zhong; Q. Song,2025 IEEE/ACM 22nd International Conference on Software and Systems Reuse (ICSR),2025,10.1109/ICSR66718.2025.00013,IEEE
R053,Harnessing the Power of LLMs for Code Smell Detection in Terraform Infrastructure as Code,Q. -H. Vo; H. Dao; K. Fukuda,"2025 IEEE 49th Annual Computers, Software, and Applications Conference (COMPSAC)",2025,10.1109/COMPSAC65507.2025.00075,IEEE
R054,A Dataset of Dockerfiles,J. Henkel; C. Bird; S. K. Lahiri; T. Reps,2020 IEEE/ACM 17th International Conference on Mining Software Repositories (MSR),2020,10.1145/3379597.3387498,IEEE
R055,A Tool for Automatic Generation of Data Mining Practice Environments,F. Terroso-Sáenz; A. Hernández,IEEE Revista Iberoamericana de Tecnologias del Aprendizaje,2021,10.1109/RITA.2021.3089922,IEEE
R056,Dynamic Data Processing on Edge Locations of CDN Network,M. Kyryk; N. Pleskanka; M. Pleskanka,"2024 IEEE 17th International Conference on Advanced Trends in Radioelectronics, Telecommunications and Computer Engineering (TCSET)",2024,10.1109/TCSET64720.2024.10755767,IEEE
R057,On the Impact of Outdated and Vulnerable Javascript Packages in Docker Images,A. Zerouali; V. Cosentino; T. Mens; G. Robles; J. M. Gonzalez-Barahona,"2019 IEEE 26th International Conference on Software Analysis, Evolution and Reengineering (SANER)",2019,10.1109/SANER.2019.8667984,IEEE
R058,Quality-Aware DevOps Research: Where Do We Stand?,A. Alnafessah; A. U. Gias; R. Wang; L. Zhu; G. Casale; A. Filieri,IEEE Access,2021,10.1109/ACCESS.2021.3064867,IEEE
R059,Forensic Analysis of Cryptojacking in Host-Based Docker Containers Using Honeypots,J. Franco; A. Acar; A. Aris; S. Uluagac,ICC 2023 - IEEE International Conference on Communications,2023,10.1109/ICC45041.2023.10278764,IEEE
R060,Database Patterns for the Cloud and Docker Integrated Environment using Open Source Machine Learning,S. Kiran; V. C. S. Rao; S. Venkatramulu; M. S. B. Phridviraj; S. Pratapagiri; S. Madugula,2022 International Conference on Electronics and Renewable Systems (ICEARS),2022,10.1109/ICEARS53579.2022.9751894,IEEE
