record_id,title,authors,source,year,doi,url,search_arm,access_date
R002,Refactoring for Dockerfile Quality: A Dive into Developer Practices and Automation Potential,E. Ksontini; M. Mastouri; R. Khalsi; W. Kessentini,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),2025,10.1109/MSR66628.2025.00116,https://doi.org/10.1109/MSR66628.2025.00116,database,2026-07-11
R003,Characterizing the Occurrence of Dockerfile Smells in Open-Source Software: An Empirical Study,Y. Wu; Y. Zhang; T. Wang; H. Wang,IEEE Access,2020,10.1109/ACCESS.2020.2973750,https://doi.org/10.1109/ACCESS.2020.2973750,database,2026-07-11
R004,Not all Dockerfile Smells are the Same: An Empirical Evaluation of Hadolint Writing Practices by Experts,G. Rosa; S. Scalabrino; G. Robles; R. Oliveto,2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),2024,,,database,2026-07-11
R006,An Empirical Analysis of the Docker Container Ecosystem on GitHub,J. Cito; G. Schermann; J. E. Wittern; P. Leitner; S. Zumberi; H. C. Gall,2017 IEEE/ACM 14th International Conference on Mining Software Repositories (MSR),2017,10.1109/MSR.2017.67,https://doi.org/10.1109/MSR.2017.67,database,2026-07-11
R012,Empirical Study of the Docker Smells Impact on the Image Size,T. Durieux,2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE),2024,10.1145/3597503.3639143,https://doi.org/10.1145/3597503.3639143,database,2026-07-11
R015,DRMiner: A Tool For Identifying And Analyzing Refactorings In Dockerfile,E. Ksontini; A. Abid; R. Khalsi; M. Kessentini,2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),2024,,,database,2026-07-11
R028,Refactorings and Technical Debt in Docker Projects: An Empirical Study,E. Ksontini; M. Kessentini; T. d. N. Ferreira; F. Hassan,2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),2021,10.1109/ASE51524.2021.9678585,https://doi.org/10.1109/ASE51524.2021.9678585,database,2026-07-11
R032,An Insight Into the Impact of Dockerfile Evolutionary Trajectories on Quality and Latency,Y. Zhang; G. Yin; T. Wang; Y. Yu; H. Wang,2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC),2018,10.1109/COMPSAC.2018.00026,https://doi.org/10.1109/COMPSAC.2018.00026,database,2026-07-11
R040,"Learning from, Understanding, and Supporting DevOps Artifacts for Docker",J. Henkel; C. Bird; S. K. Lahiri; T. Reps,2020 IEEE/ACM 42nd International Conference on Software Engineering (ICSE),2020,10.1145/3377811.3380406,https://doi.org/10.1145/3377811.3380406,database,2026-07-11
R084,DockerCleaner: Automatic Repair of Security Smells in Dockerfiles,Q. -C. Bui; M. Laukötter; R. Scandariato,2023 IEEE International Conference on Software Maintenance and Evolution (ICSME),2023,10.1109/ICSME58846.2023.00026,https://doi.org/10.1109/ICSME58846.2023.00026,database,2026-07-11
R101,Smells of Misunderstanding in File Path Patterns within Dockerignore,T. Nakamaru,2024 31st Asia-Pacific Software Engineering Conference (APSEC),2024,10.1109/APSEC65559.2024.00078,https://doi.org/10.1109/APSEC65559.2024.00078,database,2026-07-11
R151,Assessing and Improving the Quality of Docker Artifacts,G. Rosa; S. Scalabrino; R. Oliveto,2022 IEEE International Conference on Software Maintenance and Evolution (ICSME),2022,10.1109/ICSME55016.2022.00081,https://doi.org/10.1109/ICSME55016.2022.00081,database,2026-07-11
R208,An Empirical Case Study on the Temporary File Smell in Dockerfiles,Z. Lu; J. Xu; Y. Wu; T. Wang; T. Huang,IEEE Access,2019,10.1109/ACCESS.2019.2905424,https://doi.org/10.1109/ACCESS.2019.2905424,database,2026-07-11
R254,An introduction to Docker for reproducible research,"Boettiger, Carl",SIGOPS Oper. Syst. Rev.,2015,10.1145/2723872.2723882,https://doi.org/10.1145/2723872.2723882,database,2026-07-11
R256,Automating Dockerfile Refactoring to Multi-stage Builds,"Chen, Dongjin and Yang, Wenhua and Pan, Minxue and Zhou, Yu",Proc. ACM Softw. Eng.,2026,10.1145/3797098,https://doi.org/10.1145/3797098,database,2026-07-11
R262,Fixing Dockerfile smells: an empirical study,Giovanni RosaFederico ZapponeSimone ScalabrinoRocco Oliveto,Empirical Software Engineering,2024,10.1007/s10664-024-10471-7,https://link.springer.com/article/10.1007/s10664-024-10471-7,database,2026-07-11
H001,,Martin Fowler,martinfowler.com,2018,,,handsearching,2026-07-11
H002,,CNCF,Cloud Native Computing Foundation,2024,,,handsearching,2026-07-11
H003,Docker Best Practices,Docker Docs,Docker Documentation,2026,,https://docs.docker.com/build/building/best-practices/,handsearching,2026-07-11
H004,Multi-stage builds,Docker Docs,Docker Documentation,2026,,https://docs.docker.com/build/building/multi-stage/,handsearching,2026-07-11
H005,Hadolint: Dockerfile Linter,Hadolint contributors,GitHub,2026,,https://github.com/hadolint/hadolint,handsearching,2026-07-11
