"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Empirical Study of Build Failures in the Docker Context","Y. Wu; Y. Zhang; T. Wang; H. Wang","National University of Defense Technology, China; National University of Defense Technology, China; National University of Defense Technology, China; National University of Defense Technology, China",2020 IEEE/ACM 17th International Conference on Mining Software Repositories (MSR),"20 Jun 2023","2020","","","76","80","Docker containers have become the de-facto industry standard. Docker builds often break, and a large amount of efforts are put into troubleshooting broken builds. Prior studies have evaluated the rate at which builds in large organizations fail. However, little is known about the frequency and fix effort of failures that occur in Docker builds of open-source projects. This paper provides a first attempt to present a preliminary study on 857,086 Docker builds from 3,828 open-source projects hosted on GitHub. Using the Docker build data, we measure the frequency of broken builds and report their fix time. Furthermore, we explore the evolution of Docker build failures across time. Our findings help to characterize and understand Docker build failures and motivate the need for collecting more empirical evidence.","2574-3864","978-1-4503-7517-7","10.1145/3379597.3387483","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10148674","Docker;Build failure;Open-source","Industries;Time-frequency analysis;Buildings;Standards organizations;Organizations;Containers;Software","","6","","13","","20 Jun 2023","25-26 May 2020","25-26 May 2020","IEEE","IEEE Conferences"
"Refactoring for Dockerfile Quality: A Dive into Developer Practices and Automation Potential","E. Ksontini; M. Mastouri; R. Khalsi; W. Kessentini","University of Michigan - Flint, USA; University of Michigan - Flint, USA; University of Michigan - Flint, USA; University of Michigan - Flint, USA",2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),"13 Jun 2025","2025","","","788","800","Docker, the industry standard for packaging and deploying applications, leverages Infrastructure as Code (IaC) principles to facilitate the creation of images through Dockerfiles. However, maintaining Dockerfiles presents significant challenges. Refactoring, in particular, is often a manual and complex process. This paper explores the utility and practicality of automating Dockerfile refactoring using 600 Dockerfiles from 358 opensource projects. Our study reveals that Dockerfile image size and build duration tend to increase as projects evolve, with developers often postponing refactoring efforts until later stages in the development cycle. This trend motivates the automation of refactoring. To achieve this, we leverage In Context Learning (ICL) along with a score-based demonstration selection strategy. Our approach leads to an average reduction of 32% in image size and a 6% decrease in build duration, with improvements in understandability and maintainability observed in 77% and 91% of cases, respectively. Additionally, our analysis shows that automated refactoring reduces Dockerfile image size by 2x compared to manual refactoring and 10x compared to smellfixing tools like PARFUM. This work establishes a foundation for automating Dockerfile refactoring, indicating that such automation could become a standard practice within CI/CD pipelines to enhance Dockerfile quality throughout every step of the software development lifecycle.","2574-3864","979-8-3315-0183-9","10.1109/MSR66628.2025.00116","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025789","Refactoring;In-Context Learning;Software Engineering;LLM;Docker Refactoring;IaC","Automation;Pipelines;Manuals;Streaming media;Packaging;Software;Standards;Optimization;Software engineering;Software development management","","7","","53","IEEE","13 Jun 2025","28-29 April 2025","28-29 April 2025","IEEE","IEEE Conferences"
"Characterizing the Occurrence of Dockerfile Smells in Open-Source Software: An Empirical Study","Y. Wu; Y. Zhang; T. Wang; H. Wang","Science and Technology on Parallel and Distributed Laboratory, National University of Defense Technology, Changsha, China; Science and Technology on Parallel and Distributed Laboratory, National University of Defense Technology, Changsha, China; Science and Technology on Parallel and Distributed Laboratory, National University of Defense Technology, Changsha, China; Science and Technology on Parallel and Distributed Laboratory, National University of Defense Technology, Changsha, China",IEEE Access,"25 Feb 2020","2020","8","","34127","34139","Dockerfile plays an important role in the Docker-based software development process, but many Dockerfile codes are infected with smells in practice. Understanding the occurrence of Dockerfile smells in open-source software can benefit the practice of Dockerfile and enhance project maintenance. In this paper, we perform an empirical study on a large dataset of 6,334 projects to help developers gain some insights into the occurrence of Dockerfile smells, including its coverage, distribution, co-occurrence, and correlation with project characteristics. Our results show that smells are very common in Dockerfile codes and there exists co-occurrence between different types of Dockerfile smells. Further, using linear regression analysis, when controlled for various variables, we statistically identify and quantify the relationships between Dockerfile smells occurrence and project characteristics. We also provide a rich resource of implications for software practitioners.","2169-3536","","10.1109/ACCESS.2020.2973750","Program of a New Generation of Artificial Intelligence 2030(grant numbers:2018AAA0102304); Foundation of PDL(grant numbers:6142110190204); National Natural Science Foundation of China(grant numbers:61702532); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8998208","Docker;Dockerfile smells;Open-source software;GitHub","Containers;Open source software;Best practices;Databases;Buildings","","36","","40","CCBY","13 Feb 2020","2020","","IEEE","IEEE Journals"
"Not all Dockerfile Smells are the Same: An Empirical Evaluation of Hadolint Writing Practices by Experts","G. Rosa; S. Scalabrino; G. Robles; R. Oliveto","STAKE Lab, University of Molise, Pesche, Italy; STAKE Lab, University of Molise, Pesche, Italy; Universidad Rey Juan Carlos, Madrid, Spain; STAKE Lab, University of Molise, Pesche, Italy",2024 IEEE/ACM 21st International Conference on Mining Software Repositories (MSR),"18 Jun 2024","2024","","","231","241","Dockerfiles can be affected by bad design choices, known as Dock-erfile smells. Hadolint is currently the reference tool able to detect them, and it is widely used both by researchers and practitioners. The literature shows that these smells are commonly diffused in Dockerfiles, but it is still not clear how developers perceive them as bad practices. This paper aims to investigate the relevance of the Dockerfile smells captured by hadolint from the perspective of expert Dockerfile developers. We first perform a mining study in which we extract the change history of Dockerfiles maintained by experts to understand what smells have been more frequently introduced in their history. Next, we ran a survey in which we asked expert Dockerfile developers to evaluate Dockerfiles affected by different smells. We obtained 94 responses for 17 smells, representative of 24 Dockerfile smells. We found that experts prioritize a small part of the evaluated smells over others. Besides, they report additional bad practices not mapped as smells in any existing catalog. Thus, we propose a ranked catalog containing 26 additional Docker-file smells, which can be used as a guide for novices to understand which aspects to focus on to write good-quality Dockerfiles.CCS CONCEPTS• Software and its engineering → Software notations and tools.","2574-3864","979-8-4007-0587-8","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555789","Empirical Software Engineering;Docker;Code Smells","Surveys;Writing;Software;History;Data mining","","3","","39","","18 Jun 2024","15-16 April 2024","15-16 April 2024","IEEE","IEEE Conferences"
"Anti-Patterns in Infrastructure as Code","A. Rahman","Department of Computer Science, North Carolina State University, Raleigh, North Carolina","2018 IEEE 11th International Conference on Software Testing, Verification and Validation (ICST)","28 May 2018","2018","","","434","435","In DevOps, infrastructure as code (IaC) scripts are used by practitioners to create and manage an automated deployment pipeline that enables IT organizations to release their software changes rapidly at scale. Low quality IaC scripts can have serious consequences, potentially leading to wide-spread system outages and service discrepancies. The goal of this research is to help practitioners increase the quality of infrastructure as code (IaC) scripts by identifying anti-patterns in IaC scripts and development of IaC scripts. Using open source repositories, we conduct three initial studies to (i) quantify the frequency and categorize the defects in IaC scripts; and (ii) identify operations that characterize defective IaC scripts. Based on our empirical analysis we observe (i) the dominant defect defect categories to be related to syntax and configuration assignments, and (ii) three operations that characterize defective IaC scripts. The above-mentioned findings motivate us to identify anti-patterns in IaC scripts and IaC development. To this end, we propose three studies that identify (i) process anti-patterns; and (ii) security-related anti-patterns in IaC.","","978-1-5386-5012-7","10.1109/ICST.2018.00057","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8367077","anti pattern;continuous deployment;devops;infrastructure as code;configuration as code;puppet;defect","Software;Security;Organizations;Tools;Feature extraction;Predictive models;Syntactics","","7","","14","IEEE","28 May 2018","9-13 April 2018","9-13 April 2018","IEEE","IEEE Conferences"
"An Empirical Analysis of the Docker Container Ecosystem on GitHub","J. Cito; G. Schermann; J. E. Wittern; P. Leitner; S. Zumberi; H. C. Gall","Software Evolution and Architecture Lab, University of Zurich, Switzerland; Software Evolution and Architecture Lab, University of Zurich, Switzerland; IBM T. J. Watson Research Center Yorktown Heights, NY, USA; Software Evolution and Architecture Lab, University of Zurich, Switzerland; Software Evolution and Architecture Lab, University of Zurich, Switzerland; Software Evolution and Architecture Lab, University of Zurich, Switzerland",2017 IEEE/ACM 14th International Conference on Mining Software Repositories (MSR),"3 Jul 2017","2017","","","323","333","Docker allows packaging an application with its dependencies into a standardized, self-contained unit (a so-called container), which can be used for software development and to run the application on any system. Dockerfiles are declarative definitions of an environment that aim to enable reproducible builds of the container. They can often be found in source code repositories and enable the hosted software to come to life in its execution environment. We conduct an exploratory empirical study with the goal of characterizing the Docker ecosystem, prevalent quality issues, and the evolution of Dockerfiles. We base our study on a data set of over 70000 Dockerfiles, and contrast this general population with samplings that contain the Top-100 and Top-1000 most popular Docker-using projects. We find that most quality issues (28.6%) arise from missing version pinning (i.e., specifying a concrete version for dependencies). Further, we were not able to build 34% of Dockerfiles from a representative sample of 560 projects. Integrating quality checks, e.g., to issue version pinning warnings, into the container build process could result into more reproducible builds. The most popular projects change more often than the rest of the Docker population, with 5.81 revisions per year and 5 lines of code changed on average. Most changes deal with dependencies, that are currently stored in a rather unstructured manner. We propose to introduce an abstraction that, for instance, could deal with the intricacies of different package managers and could improve migration to more light-weight images.","","978-1-5386-1544-7","10.1109/MSR.2017.67","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7962382","empirical software engineering;GitHub;Docker","Containers;Software;Ecosystems;Tools;Computer languages;Sociology;Statistics","","126","3","26","IEEE","3 Jul 2017","20-21 May 2017","20-21 May 2017","IEEE","IEEE Conferences"
"TerraMetrics: An Open Source Tool for Infrastructure-as-Code (IaC) Quality Metrics in Terraform","M. Begoug; M. Chouchen; A. Ouni","ETS Montreal, University of Quebec, Montreal, QC, Canada; ETS Montreal, University of Quebec, Montreal, QC, Canada; ETS Montreal, University of Quebec, Montreal, QC, Canada",2024 IEEE/ACM 32nd International Conference on Program Comprehension (ICPC),"18 Jun 2024","2024","","","450","454","Infrastructure-as-Code (IaC) constitutes a pivotal DevOps methodology, leading edge of software deployment onto cloud platforms. IaC relies on source code files rather than manual configuration to manage the infrastructure of a software system. Terraform, an IaC tool and its declarative configuration language named HCL, has recently garnered considerable attention among IaC practitioners. Like other software artefacts, Terraform files could be affected by misconfigurations, faults, and smells. Therefore, DevOps practitioners might benefit from a quality assurance tool to help them perform quality assurance activities on Terrafrom artefacts. This paper introduces TerraMetrics, an open-source tool designed to characterize the quality of Terraform artefacts by providing a catalogue of 40 quality metrics. TerraMetrics leverages the Terraform Abstract Syntax Tree (AST) to extract the metric list, offering a potentially enduring solution compared to conventional regular expressions. This tool comprises three main components: (i) a parser transforming HCL code into an AST, (ii) visitors that traverse the AST nodes to extract the metrics, and (iii) collectors for storing the collected metrics in JSON format. The TerraMetrics tool is publicly available as an Open Source tool, with a demo video, at: https://github.com/stilab-ets/terametrics.","2643-7171","979-8-4007-0586-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10556493","Infrastructure-as-Code;Terraform;HCL;quality metrics;AST","Measurement;Quality assurance;DevOps;Codes;Source coding;Manuals;Syntactics","","4","","40","","18 Jun 2024","15-16 April 2024","15-16 April 2024","IEEE","IEEE Conferences"
"Semantic Transformer-Based Detection of Security Misconfigurations in Cloud Infrastructure-as-Code","N. S. Praveen Kumar Yadati; S. Manohar Nethi; S. P. Nandi; R. Purushothaman; P. Nutalapati; M. Parikh","Independent Researcher, San Jose, CA, USA; Independent Researcher, San Diego, CA, USA; Independent Researcher, Fremont, CA, USA; Independent Researcher, Dublin, CA, USA; Independent Researcher, Dallas, TX, USA; Lead Enterprise Data Architect, Cytel Richmond, Texas, USA","2026 International Conference on Artificial Intelligence, Systems, and Emerging Technologies (ICAISET)","2 Jun 2026","2026","","","1","6","Cloud infrastructure misconfigurations continue to be a leading cause of security breaches, but current rule-based detection methods are not flexible and do not generalize across diverse Infrastructure-as-Code (IaC) patterns. This work proposes a deep learning-based framework for automated detection of security misconfigurations of Terraform configurations, leveraging transformer based semantic understanding of code. A lightweight but effective pipeline is built by using DistilBERT for sequence classification, which allows for efficient learning from IaC text while leaving practical training constraints. The approach is tested on a balance dataset of 2000 samples, achieving good performance with an F1-score of 0.7598, recall of 0.8700, ROC-AUC of 0.8224 and precision-recall-AUC of 0.8344, which outperforms the traditional TF-IDF with Logistic Regression in recall and overall detection capability. The results indicate the capability of the model in capturing the security patterns in the given context beyond the syntactic rules, presenting a scalable and intelligent solution to proactively assure security in clouds.","","979-8-3315-9256-1","10.1109/ICAISET66439.2026.11541339","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11541339","Cloud Security Misconfiguration Detection;Infrastructure-as-Code Analysis;Transformer-Based Deep Learning","Modeling;Infrastructure as Code;Security;Codes;Transformers;Printing;Signal detection;Training;Clouds;Equations","","","","26","IEEE","2 Jun 2026","21-23 April 2026","21-23 April 2026","IEEE","IEEE Conferences"
"Characteristics of Defective Infrastructure as Code Scripts in DevOps","A. Rahman","North Carolina State University, Raleigh, NC, US",2018 IEEE/ACM 40th International Conference on Software Engineering: Companion (ICSE-Companion),"30 Aug 2018","2018","","","476","479","Defects in infrastructure as code (IaC) scripts can have serious consequences for organizations who adopt DevOps. By identifying which characteristics of IaC scripts correlate with defects, we can identify anti-patterns, and help software practitioners make informed decisions on better development and maintenance of IaC scripts, and increase quality of IaC scripts. The goal of this paper is to help practitioners increase the quality of IaC scripts by identifying characteristics of IaC scripts and IaC development process that correlate with defects, and violate security and privacy objectives. We focus on characteristics of IaC scripts and IaC development that (i) correlate with IaC defects, and (ii) violate security and privacy-related objectives namely, confidentiality, availability, and integrity. For our initial studies, we mined open source version control systems from three organizations: Mozilla, Openstack, and Wikimedia, to identify the defect-related characteristics and conduct our case studies. From our empirical analysis, we identify (i) 14 IaC code and four churn characteristics that correlate with defects; and (ii) 12 process characteristics such as, frequency of changes, and ownership of IaC scripts that correlate with defects. We propose the following studies: (i) identify structural characteristics that correlate with defects; (ii) with respect to prediction performance, compare which characteristics of IaC scripts are more correlated with defects; and (iii) identify characteristics that violate security and privacy objectives.","2574-1934","978-1-4503-5663-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449631","defect;devops;infrastructure as code;metric","Software;Organizations;Security;Measurement;Privacy;Predictive models;Tools","","2","","","","30 Aug 2018","27 May-3 June 2018","27 May-3 June 2018","IEEE","IEEE Conferences"
"As Code Testing: Characterizing Test Quality in Open Source Ansible Development","M. M. Hassan; A. Rahman","Independent University, Dhaka, Bangladesh; Department of Computer Science, Tennessee Tech University, Cookeville, TN, USA","2022 IEEE Conference on Software Testing, Verification and Validation (ICST)","8 Jun 2022","2022","","","208","219","Infrastructure as code (IaC) scripts, such as Ansible scripts, are used to provision computing infrastructure at scale. Existence of bugs in IaC test scripts, such as, configuration and security bugs, can be consequential for the provisioned computing infrastructure. A characterization study of bugs in IaC test scripts is the first step to understand the quality concerns that arise during testing of IaC scripts, and also provide recommendations for practitioners on quality assurance. We conduct an empirical study with 4,831 Ansible test scripts mined from 104 open source software (OSS) repositories where we quantify bug frequency, and categorize bugs in test scripts. We further categorize testing patterns, i.e., recurring coding patterns in test scripts, which also correlate with appearance of bugs. From our empirical study, we observe 1.8% of 4,831 Ansible test scripts to include a bug, and 45.2% of the 104 repositories to contain at least one test script that includes bugs. We identify 7 categories of bugs, which includes security bugs and performance bugs that are related with metadata extraction. We also identify 3 testing patterns that correlate with appearance of bugs: 'assertion roulette’, 'local only testing’, and 'remote mystery guest‘. Based on our findings, we advocate for detection and mitigation of the 3 testing patterns as these patterns can have negative implications for troubleshooting failures, reproducible deployments of software, and provisioning of computing infrastructure.","2159-4848","978-1-6654-6679-0","10.1109/ICST53961.2022.00031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9787876","ansible;bug;configuration as code;empirical study;infrastructure as code;quality;test","Software testing;Codes;Quality assurance;Computer bugs;Metadata;Inspection;Encoding","","12","","68","IEEE","8 Jun 2022","4-14 April 2022","4-14 April 2022","IEEE","IEEE Conferences"
